Unnamed: 0,nom,desc,accroche,visuel,producteur,contenance,deg_alcool,pays,region,appellation,millesime,accords,gout,caractere,couleur,temp_serv,type_produit,bio,prix,reco1,reco2,reco3,reco4,local_visuel
2849,Le Rosé X Giscours 2024 - Château Giscours,"Né dune parcelle de Cabernet Sauvignon soigneusement dédiée, ce rosé confidentiel est conduit avec le même soin que notre Grand Cru Classé. Pressurage tout en douceur, premiers jus sélectionnés, fermentation maîtrisée : chaque étape vise lexcellence. Sa robe pâle, ses arômes subtils de fleurs blanches et sa fraîcheur en bouche surprennent.Un rosé de terroir, élégant et moderne, qui redéfinit les codes du rosé bordelais.",L'élégance dun Grand Cru dans un rosé de Bordeaux dexception,100346-fine_default/le-rose-x-giscours-2024-chateau-giscours.png,Château Giscours,0.75,12.5,France,Bordeaux,Bordeaux,2024,"['Apéritif', 'Entrée', 'Charcuterie', 'Poisson', 'Coquillage & Crustacé', 'Cuisine du monde']",Fraiche et gourmande,Rosé de repas,Rosé,10-12°C,Vin,,28.0,Rock Angel 2024 - Caves d'Esclans,Château Henri Bonnaud - Rosé 2024,Grenache - Syrah Rosé 2024 - Barton & Guestier,Les Fumées Blanches - Gris de Sauvignon Rosé 2024 - François Lurton,images/02851.png
2850,Chablis 1er Cru Montmains 2022 -  Jean Marc Brocard,"Ce Chablis 1er cru Montmains est cultivé sur la rive gauche du Serein. Cette côte étendue confère au vin des caractères minéraux et floraux, la bouche est élégante, ciselée et acidulée, sur des notes citronnées et florales. La finale est minérale et citronnée avec une belle persistance saline et salivante. Un Premier Cru qui seduira l'ensemble de vos convives, c'est certain !","Superbe !! De la légèreté, de la nervosité, une belle acidité, c'est un Chablis 1er Cru rafraîchissant qui ne demande qu'à être bu !",85567-fine_default/chablis-1er-cru-montmains-2022-jean-marc-brocard.png,Jean-Marc Brocard,0.75,13.0,France,Bourgogne,Chablis 1er cru,2022,"Apéritif, Poisson, Coquillage & Crustacé, Viande blanche, Fromage",La bouche est fraîche et iodée avec une jolie minéralité.,Blanc Sec ample et racé,Blanc,12-14°C,Vin,['Certifié Eurofeuille'],29.0,D18 2022 - Domaine Olivier Pithon,Rully 1er Cru Blanc 2022 - Doudet-Naudin,Puligny-Montrachet - Nosroyes 2022 - Domaine Genot Boulanger,Chassagne Montrachet 1er Cru - la Grande Montagne 2022 - Louis Latour,images/02852.png
2851,Echezeaux Grand Cru  2013 - Louis Jadot,"Louis Jadot ne cesse de proposer des produits d'une qualité unique ! Grâce au sol calcaire idéalement propice à l'élaboration de Grands Crus ainsi qu'à un savoir-faire unique, l'Echezeaux 2013 se distingue par un bouquet subtilement élaboré. Cette pépite est élevée en fûts de chêne pendant environ 20 mois et offre des nuances de framboise, de fraise confiturée et de cerise, rehaussées par de délicates notes minérales. En bouche, sa structure complexe dévoile des tanins légers, une acidité élégante, et une finale d'une belle longueur. Sublimez vos plus beaux plats avec ce produit d'exception.","""Voici le Grand Cru roi de la finesse et de l'élégance de la Côte de Nuits. Laissez-vous impressionner par cette longueur en bouche."" - John Euvrard, Meilleur sommelier de France",87305-fine_default/echezeaux-grand-cru-2013-louis-jadot.png,Maison Louis Jadot,0.75,13.0,France,Bourgogne,Echezeaux,2013,"['Viande rouge', 'Gibier', 'Champignon', 'Cuisine du monde', 'Fromage']",Structure complexe et grande longueur en bouche.,"Rouge Complexe, tannique et racé",Rouge,16-17°C,Vin,,219.0,Echezeaux Grand Cru 2017 - Louis Latour,Chambolle Musigny 1er Cru Les Plantes 2017 - Domaine Bertagna,Le Corton Grand Cru 2017 - Domaine Bouchard Père et Fils,Beaune 1er Cru - Clos du Roi 2020 - Bouchard Pere et Fils (Domaine),images/02853.png
2852,Tête de Belier Blanc 2023 - Château Puech Haut,"Un nez à la fois éclatant de fruits exotiques, dabricot, et chaleureux avec des notes de chocolat blanc et de pêche de vigne. Une bouche équilibrée, sur des notes à la fois fraîche en attaque d'agrumes et plus ronde en finale de miel. Un grand blanc du Château Puech-Haut, charmeur, frais, étonnant, opulent, équilibré et accessible dès aujourd'hui. Les adjectifs ne manquent pas pour qualifier tout simplement un des plus grands blancs du Languedoc...",L'emblématique Tête de Bélier du Château Puech-Haut : un blanc haut de gamme qui mérite des repas de haute gastronomie !,98661-fine_default/tete-de-belier-blanc-2023-chateau-puech-haut.png,Puech Haut,0.75,14.5,France,Languedoc-Roussillon,Languedoc,2023,"['Poisson', 'Viande blanche', 'Fromage']","La bouche est équilibrée et pleine, sur des notes à la fois fraîche en attaque (agrumes) et plus ronde en finale (miel d'acacias).",Blanc Sec ample et racé,Blanc,,Vin,,29.9,Zénith de Schiste blanc 2023 - Cave de Roquebrun,Puligny-Montrachet  2023 - Domaine Bzikot Père et Fils,Les Launes Blanc 2023 - Delas,Les Chaillets 2023 - Yves Cuilleron,images/02854.png
2853,Maduresa 2021 - Celler Del Roure,"La cuvée phare du domaine Celler del Roure est un assemblage de Monastrell, Cariñena et des cépages autochtones Mandó et Arcos. Il a fermenté avec 30 de grappes entières et de levures indigènes en acier inoxydable et a subi un élevage malolactique et 12 mois en fûts de chêne français de 225 et 500 litres. De style très méditerranéen et expressif, on retrouve des notes de muscade et de poivre noir. Maduresa 2021 offre un style charmeur au boisé parfaitement intégré, avec une belle fraicheur et une grande harmonie.",""" C'est sans aucun doute le millésime de Maduresa avec le plus de finesse, de fraîcheur et de nuance. "" R. Parker",87099-fine_default/maduresa-2021-celler-del-roure.png,Celler del Roure,0.75,13.5,Espagne,Valencia,Valencia,2021,"['Charcuterie', 'Viande rouge', 'Viande blanche', 'Volaille', 'Gibier', 'Champignon', 'Barbecue', 'Cuisine du monde', 'Fromage', 'Dessert chocolaté']",Une attaque très gourmande avec une belle trame de fruit et de minéralité sure une texture douce et fine.,Rouge Elégant et racé,Rouge,15-17°C,Vin,['Certifié Eurofeuille'],21.9,Anjou Rouge - Reliefs 2021 - Château Soucherie,Kvareli Rouge 2021 - Koncho & co,Barolo 2021 - Ascheri,Clos Triguedina 2021 - Domaine Triguedina Jean-Luc Baldes,images/02855.png
2854,Wild Boar Pinot Noir 2023 - Tussock Jumper,Tussock Jumper laisse de nouveau place à une cuvée faite de plaisir et de puissance gustative. Un style sur des arômes et saveurs de fruits rouges joliment accordés à des notes boisées et vanillées en bouche. Une dégustation à la fois portée sur la complexité et la délicatesse des saveurs confiturées que procure ce cépage 100 Pinot noir. Un incontournable à déposer au milieu de la table et à savourer accompagné d'une belle pièce de viande grillée !,"Un Pinot noir qui assume parfaitement ses origines sudistes : du jus, du soleil et des notes boisées !",87667-fine_default/wild-boar-pinot-noir-2023-tussock-jumper.png,Tussock Jumper,0.75,13.5,France,,Vin de France,2022,"['Entrée', 'Charcuterie', 'Viande rouge', 'Viande blanche', 'Volaille', 'Gibier', 'Champignon', 'Barbecue', 'Cuisine du monde', 'Fromage', 'Dessert fruité', 'Dessert chocolaté']",Bouche complexe et longue aux notes boisées et confiturées. Tanins intégrés.,Rouge Charnu et fruité,Rouge,17°C,Vin,,7.5,Malbec Réserve 2022 - Bodega Piedra Negra,Aloxe Corton 2022 - Domaine Chevalier Père et Fils,Le Boutenac des Demoiselles 2022 - Cellier des Demoiselles,Moulin à Vent Bio 2022 - Domaine Richard Rottiers,images/02856.png
2855,Gueule de Loup 2023 - Château de Roquefort,"La cuvée Gueule de Loup est un rouge de Provence qui séduit par sa gourmandise et son caractère. Son nez dévoile des arômes envoûtants de fruits noirs, notamment de cerise, accompagnés de subtiles notes épicées. L'attaque en bouche est ronde et souple, offrant des tanins fins et fondus. Une belle vivacité se déploie en finale, apportant une touche rafraîchissante. Un vin à la fois élégant et plein de charme, quon aimerait retrouver plus souvent en Provence. Parfait pour accompagner une grillade, alors sortez les barbecues et laissez-vous séduire.","Un rouge de Provence gourmand et élégant, parfait pour vos moments conviviaux autour dune grillade.",88219-fine_default/gueule-de-loup-2023-chateau-de-roquefort.png,Château de Roquefort,0.75,12.5,France,Provence-Alpes-Côte d'Azur,Bouches du Rhône,2023,"['Apéritif', 'Viande rouge', 'Viande blanche', 'Volaille', 'Barbecue', 'Cuisine du monde']","Une bouche gourmande, charnu et souple",Rouge Charnu et fruité,Rouge,16-18°C,Vin,['Certifié Eurofeuille'],12.5,Monthélie 2023  - Maison Clavelier,Syrah - Les Agathes 2023 - Remi Niero,Château Grand Jean - Entre-Deux-Mers rouge 2023,Hermon Rouge 2023 - Gamla Golan Heights Winery,images/02857.png
2856,Anjou Rouge - Reliefs 2021 - Château Soucherie,"Fruité et merveilleusement frais, cette cuvée Reliefs est aux saveurs du terroir et au caractère des vielles vignes qui la composent. Une palette aromatique autour des fruits noirs et des fleurs comme la violette et la réglisse, viennent emporter le palais vers une dégustation structurée et fine à la fois. Composé de deux cépages, le Cabernet-franc et le Grolleau, cet Anjou rouge exprime authenticité et fraîcheur. Un vin coup de cœur, au rapport qualité-prix exceptionnel qui saura charmer tous les curieux.","Issue de vignes âgées de 35 ans, cet Anjou offre du Reliefs dans le nom et en bouche !",88603-fine_default/anjou-rouge-reliefs-2021-chateau-soucherie.png,Château Soucherie,0.75,12.5,France,Loire,Anjou,2021,"['Entrée', 'Charcuterie', 'Viande rouge', 'Gibier', 'Champignon', 'Barbecue', 'Cuisine du monde', 'Fromage']","Bouche boisée, souple, charnue et fruitée.",Rouge Léger et fruité,Rouge,16°C,Vin,,11.9,Maduresa 2021 - Celler Del Roure,Kvareli Rouge 2021 - Koncho & co,Barolo 2021 - Ascheri,Clos Triguedina 2021 - Domaine Triguedina Jean-Luc Baldes,images/02858.png
2857,D18 2022 - Domaine Olivier Pithon,"La cuvée D18 est une cuvée parcellaire, elle tire son nom de la route entre Col et Calce où se trouve le domaine, entourée de beaux versants. Le vin est issu d'un assemblage entre les Grenaches Blancs et Gris et le cépage emblématique du Roussillon, le Maccabeu. Il est élevé 18 mois en foudre avant d'être mis en bouteille. A la dégustation, on retrouve un blanc sapide, salin avec un bouquet rafraîchissant sur les agrumes et les fruits jaunes confits. En bouche, c'est divinement savoureux, à la fois rond et minéral.",La célèbre cuvée D18 qui fait rayonner les blancs du Roussillon!! Quantités très limitées!,92108-fine_default/d18-2022-domaine-olivier-pithon.png,Domaine Olivier Pithon,0.75,13.5,France,Languedoc-Roussillon,Côtes Catalanes,2022,"['Apéritif', 'Poisson', 'Coquillage & Crustacé', 'Viande blanche', 'Fromage', 'Dessert fruité']","Fruits blancs, gourmande, jolie fraicheur",Blanc Sec souple et fruité,Blanc,10-12°C,Vin,"['Certifié Biodyvin', 'Certifié Eurofeuille']",45.0,Rully 1er Cru Blanc 2022 - Doudet-Naudin,Chablis 1er Cru Montmains 2022 -  Jean Marc Brocard,Puligny-Montrachet - Nosroyes 2022 - Domaine Genot Boulanger,Chassagne Montrachet 1er Cru - la Grande Montagne 2022 - Louis Latour,images/02859.png
2858,Rully 1er Cru Blanc 2022 - Doudet-Naudin,"Les vignobles de Rully 1er Cru bénéficient d'un terroir exceptionnel, avec des sols argilo-calcaires et une exposition favorable, permettant une maturation optimale des raisins. Cette appellation, moins connue que ses voisines de la Côte de Beaune, offre des vins d'un excellent rapport qualité-prix, reflétant parfaitement le savoir-faire bourguignon. Découvrez cette magnifique cuvée signée Doudet-Naudin où onctuosité rime avec richesse aromatique ! Tension et générosité sont au rendez-vous, faites vous plaisir !",Un délice d'un terroir exceptionnel !,92852-fine_default/rully-1er-cru-blanc-2022-doudet-naudin.png,Maison Doudet-Naudin,0.75,13.0,France,Bourgogne,Rully 1er cru,2022,"['Apéritif', 'Charcuterie', 'Coquillage & Crustacé', 'Viande blanche', 'Volaille', 'Champignon', 'Barbecue', 'Fromage']","Belle matière en bouche. Jolie structure ample, vive et gourmande aux nuances fruitées",Blanc Sec ample et racé,Blanc,14-15°C,Vin,,32.5,D18 2022 - Domaine Olivier Pithon,Chablis 1er Cru Montmains 2022 -  Jean Marc Brocard,Puligny-Montrachet - Nosroyes 2022 - Domaine Genot Boulanger,Chassagne Montrachet 1er Cru - la Grande Montagne 2022 - Louis Latour,images/02860.png
2859,Monthélie 2023  - Maison Clavelier,"Ce Monthélie est gourmand à souhait et fait preuve d'une grande précision ! Très souple, il possède un bouquet aromatique délicieusement fruité, composé de fruits rouges et noirs, frais et croquant en bouche. C'est un vin qui offre une très belle structure en bouche, aux tanins soyeux, qui accompagnera parfaitement vos repas entre amis ! Doté d'un beau potentiel de garde, il se révèlera de plus en plus au fil du temps !","Une pinot noir plein de fraîcheur et de gourmandise, parfait pour les repas entre amis !",93167-fine_default/monthelie-2023-maison-clavelier.png,Maison Clavelier & Fils,0.75,13.0,France,Bourgogne,Monthelie,2023,"['Apéritif', 'Charcuterie', 'Viande rouge', 'Gibier', 'Dessert chocolaté']","Tanins raffinés, texture soyeuse.",Rouge Charnu et fruité,Rouge,15-17°C,Vin,,27.9,Gueule de Loup 2023 - Château de Roquefort,Syrah - Les Agathes 2023 - Remi Niero,Château Grand Jean - Entre-Deux-Mers rouge 2023,Hermon Rouge 2023 - Gamla Golan Heights Winery,images/02861.png
2860,Chassagne Montrachet 1er Cru - la Grande Montagne 2022 - Louis Latour,"Ce Chassagne-Montrachet 1er Cru a tout pour nous plaire. La Fraîcheur de sont bouquet marqué par ses notes de beurre frais, tout en finesse, qui offre un une bouche bien maîtrisée et équilibrée marquée par une vive minéralité en finale. Une cuvée d'auteur vinifiée dans le plus grand respect de la tradition bourguignonne. Le résultat est bluffant, on retrouve des touches d'aneth et de vanille qui viennent précéder une bouche cristalline, la trame du vin est croquante et précise. On aime ce côté enrobé du Chardonnay qui impose son volume et son incroyable longueur. Il pourra être apprécié dès maintenant et défiera le temps avec élégance.",Un vin de haute voltige produit par un domaine mythique.,92813-fine_default/chassagne-montrachet-1er-cru-la-grande-montagne-2022-louis-latour.png,Louis Latour,0.75,13.5,France,Bourgogne,Chassagne-Montrachet 1er Cru,2022,"['Poisson', 'Coquillage & Crustacé', 'Viande blanche', 'Volaille', 'Fromage']","Bouche ample, généreuse.",Blanc Sec ample et racé,Blanc,12-14°C,Vin,,99.9,Puligny-Montrachet - Nosroyes 2022 - Domaine Genot Boulanger,D18 2022 - Domaine Olivier Pithon,Rully 1er Cru Blanc 2022 - Doudet-Naudin,Chablis 1er Cru Montmains 2022 -  Jean Marc Brocard,images/02862.png
2861,Puligny-Montrachet - Nosroyes 2022 - Domaine Genot Boulanger,"Le Puligny-Montrachet Les Nosroyes est produit à partir d'une parcelle de 1,13 hectare, placée en pieds de coteau au nord du village, juste sous le 1er cru réputé des Perrières. Le nez est de poire et de bois précieux et laisse transparaitre quelques notes d'élevages 12 mois en fûts de chêne, l'aération complète le bouquet avec des épices douces : le chardonnay dans sa complexité minérale et orientaliste. En bouche c'est une grande extension : à la fois riche et tonique, le vin est gras et dépose une longue trainée de fruits blancs avant de plonger le palais dans une finale crayeuse...","Puissant et complet, ce Puligny-Montrachet est un premier cru qui préfère la modestie du village !",93029-fine_default/puligny-montrachet-nosroyes-2022-domaine-genot-boulanger.png,Domaine Genot Boulanger,0.75,13.0,France,Bourgogne,Puligny-Montrachet,2022,"['Apéritif', 'Entrée', 'Poisson', 'Coquillage & Crustacé', 'Viande blanche', 'Volaille', 'Fromage']","Bouche riche et tonique. Notes de fruits blanc et gras délicat, longue finale crayeuse",Blanc Sec ample et racé,Blanc,12-14°C,Vin,"['Certifié Agriculture Biologique', 'Certifié Eurofeuille']",81.0,Chassagne Montrachet 1er Cru - la Grande Montagne 2022 - Louis Latour,D18 2022 - Domaine Olivier Pithon,Rully 1er Cru Blanc 2022 - Doudet-Naudin,Chablis 1er Cru Montmains 2022 -  Jean Marc Brocard,images/02863.png
2862,Malbec Réserve 2022 - Bodega Piedra Negra,"De couleur rouge rubis aux reflets cerise, ce 100 Malbec offre une aromatique complexe, sur un mélange de baies rouges et darômes épicés de poivre noir. Quelques notes délicates de chocolat et de café provenant de son vieillissement en fût de chêne apportent encore plus de profondeur. Un vin structuré et complexe aux tanins agréables qui offrent douceur et longueur en bouche. Les épices sont agréablement associées à des notes grillées et aux fruits rouges caractéristiques du Malbec. Une cuvée riche et généreuse.","Élégance, puissance et fruit intense : Un beau concentré de saveurs argentines à découvrir.",93077-fine_default/malbec-reserve-2022-bodega-piedra-negra.png,Piedra Negra (Bodega),0.75,14.0,Argentine,Mendoza,Valle de Uco,2022,"['Charcuterie', 'Viande rouge', 'Viande blanche', 'Volaille', 'Gibier', 'Barbecue', 'Cuisine du monde', 'Fromage']",Bouche structurée à la longue finale. Notes délicates de chocolat et de café.,Rouge Puissant et généreux,Rouge,16-18°C,Vin,['Certifié Eurofeuille'],17.8,Le Boutenac des Demoiselles 2022 - Cellier des Demoiselles,Aloxe Corton 2022 - Domaine Chevalier Père et Fils,Moulin à Vent Bio 2022 - Domaine Richard Rottiers,Clos Junet 2022,images/02864.png
2863,Aloxe Corton 2022 - Domaine Chevalier Père et Fils,"Ce talentueux domaine, fer de lance de la côte de Beaune, propose chaque année des vins dune qualité rare. Dans le pur style de lappellation, cet Aloxe-Corton sera une valeur sûre à déguster : ample, rond et charnu, il brille par sa finesse et son élégance. Un vin de garde dont vous pourrez vous délecter à coup sûr dans quelques années.",La valeur sûre signée du Domaine Chevalier sur cette remarquable appellation de Bourgogne ! On frôle la perfection...,93508-fine_default/aloxe-corton-2022-domaine-chevalier-pere-et-fils.png,Domaine Chevalier Père et Fils,0.75,13.0,France,Bourgogne,Aloxe Corton,2022,"['Charcuterie', 'Viande rouge', 'Viande blanche', 'Volaille', 'Gibier', 'Fromage']","Arôme de myrtille et de mûre, équilibré, tanins fins.",Rouge Léger et fruité,Rouge,15-16°C,Vin,,43.0,Malbec Réserve 2022 - Bodega Piedra Negra,Le Boutenac des Demoiselles 2022 - Cellier des Demoiselles,Moulin à Vent Bio 2022 - Domaine Richard Rottiers,Clos Junet 2022,images/02865.png
2864,Syrah - Les Agathes 2023 - Remi Niero,"Au cœur de la Vallée du Rhône, le Domaine Niero se consacre à la culture des raisins de Syrah de la plus haute qualité avec soin et respect de l'environnement. Situées sur des coteaux en terrasses, les vignes donnent naissance à une cuvée exceptionnelle baptisée Les Agathes . Grâce à son terroir argilo-calcaire et à des vignes d'environ 20 ans, ce vin offre des arômes séduisants de fruits rouges et noirs, de poivre noir et de violette. La délicatesse et la générosité de la bouche révèlent des nuances poivrées et élégantes qui accompagnent le vin jusqu'à une finale fraîche et vivifiante. Parfait pour recevoir, les Agahtes 2023 saura sublimer une pièce de bœuf.","Découvrez tout le savoir-faire de la famille Niero avec le Syrah ""les Agathes"" 2023 !",93882-fine_default/syrah-les-agathes-2023-remi-niero.png,Domaine Remi Niero,0.75,13.0,France,Rhône,Collines Rhodaniennes,2023,"['Entrée', 'Viande rouge', 'Viande blanche', 'Gibier', 'Champignon', 'Barbecue', 'Fromage']",Bouche très fruitée et légèrement portée sur le poivre. ,Rouge Charnu et fruité,Rouge,15-17°C,Vin,,15.0,Monthélie 2023  - Maison Clavelier,Gueule de Loup 2023 - Château de Roquefort,Hermon Rouge 2023 - Gamla Golan Heights Winery,Chinon Rouge - Le Puy 2023 - Domaine Jean-Maurice Raffault,images/02866.png
2865,Le Boutenac des Demoiselles 2022 - Cellier des Demoiselles,"Un assemblage raffiné de Vieux Carignan, de Syrah et de Grenache, qui captive les sens avec sa robe grenat et son nez envoûtant mêlant subtilement framboise, moka et épices douces. En bouche il est corsé et déploie avec franchise sa large palette aromatique. Un beau potentiel de garde, du soleil, de la fraîcheur, des tanins soyeux, de quoi ravir tout le monde autour de la table !","Une bouche suave, un fruit moelleux et un corps élégant",94047-fine_default/le-boutenac-des-demoiselles-2022-cellier-des-demoiselles.png,Cellier des Demoiselles,0.75,14.0,France,Languedoc-Roussillon,Corbières Boutenac,2022,"['Charcuterie', 'Viande rouge', 'Viande blanche', 'Barbecue']","Bouche virile, corsée et équilibrée qui déploie une large palette aromatique. De la fraîcheur, du fruit et des tanins soyeux.",Rouge Puissant et généreux,Rouge,17-18°C,Vin,,11.5,Moulin à Vent Bio 2022 - Domaine Richard Rottiers,Clos Junet 2022,Malbec Réserve 2022 - Bodega Piedra Negra,Aloxe Corton 2022 - Domaine Chevalier Père et Fils,images/02867.png
2866,Echezeaux Grand Cru 2017 - Louis Latour,"Située entre Vosne-Romanée et Vougeot, la parcelle de Grands Echezeaux donne des vins solides et charpentés mais dune finesse incroyable ! Un Grand Cru de Bourgogne 2017 dont tout amateur et spécialiste de cette noble région vinicole se délectera dès maintenant ! Un très beau et rare flacon signé de la mythique Maison Louis Latour !",Une des plus belles appellations de Bourgogne enfin prête à être dégustée ! Un immanquable,101213-fine_default/echezeaux-grand-cru-2017-louis-latour.png,Louis Latour,0.75,14.0,France,Bourgogne,Echezeaux,2017,"['Viande rouge', 'Volaille', 'Champignon', 'Cuisine du monde', 'Fromage']",Un vin puissant et persistant sur des notes de chocolat et de menthe poivrées. Belle finesse.,Rouge Puissant et généreux,Rouge,16-17°C,Vin,,279.0,Le Corton Grand Cru 2017 - Domaine Bouchard Père et Fils,Chambolle Musigny 1er Cru Les Plantes 2017 - Domaine Bertagna,Clos Saint-Denis Grand Cru 2017 - Domaine Bertagna,Nuits Saint Georges 2017 - Louis Latour,images/02868.png
2867,Château Mouton Rothschild 2021 - 1er Cru Classé,"Ce Mouton 2021 présente une couleur profonde et soutenue aux reflets violines. Le nez est élégant et complexe et séduit par ses arômes joliment parfumés de mûre et de cassis, associés à des nuances florales d'iris et une touche d'épices et de cèdre. Gourmande et pulpeuse, lattaque est fraîche, nette et bien structurée. Des parfums de fruits frais se mêlent à une trame de tanins nobles et savoureux qui tapissent le palais. La finale complète et équilibrée confirme un vin plein de promesses...",Mouton Rothschild signe un Pauillac de style et de grande garde qui mise sur l'élégance !,91679-fine_default/chateau-mouton-rothschild-2021-1er-cru-classe.png,Château Mouton Rothschild,0.75,13.0,France,Bordeaux,Pauillac,2021,"['Viande rouge', 'Volaille', 'Gibier', 'Fromage']","Fruits frais, fraîcheur, dense, tanins fins et mûrs, finale complète","Rouge Complexe, tannique et racé",Rouge,,Vin,,625.0,Clos des Lambrays Grand Cru 2021 - Domaine Des Lambrays,Richebourg Grand Cru 2021 - Domaine a.-f. Gros,Maduresa 2021 - Celler Del Roure,Barolo 2021 - Ascheri,images/02869.png
2868,Moulin à Vent Bio 2022 - Domaine Richard Rottiers,"Le Moulin à Vent est l'appellation phare de ce superbe jeune Domaine, on vous fait découvrir leur porte drapeau ! Certifié Bio depuis peu, il est élégant, structuré et détonne grâce à ses arômes typiques de violette et de fruits rouges. On perçoit une grande finesse et une rondeur très agréable, certainement due aux 6 mois d'élevage en foudres et fûts. Un Moulin à vent, une fois de plus, remarquable.",Profond et avec une concentration et une énergie qui sont de très bonne augure pour son évolution. Une merveille en BIO !,77582-fine_default/moulin-a-vent-bio-2022-domaine-richard-rottiers.png,Domaine Richard Rottiers,0.75,12.5,France,Beaujolais,Moulin à Vent,2022,"['Charcuterie', 'Viande rouge', 'Viande blanche', 'Volaille', 'Gibier', 'Champignon', 'Fromage']","Bouche pleine et ronde, des tanins soyeux qui enveloppent le tout.",Rouge Charnu et fruité,Rouge,14-16°C,Vin,['Certifié Eurofeuille'],16.9,Clos Junet 2022,Le Boutenac des Demoiselles 2022 - Cellier des Demoiselles,Aloxe Corton 2022 - Domaine Chevalier Père et Fils,Malbec Réserve 2022 - Bodega Piedra Negra,images/02870.png
2869,Château Larrivet Haut-Brion 2020,"Au cœur de Léognan, cette propriété de très ancienne réputation appartient à la famille Gervoson, secondée depuis 2007 par Bruno Lemoine, ancien directeur des châteaux Montrose et Lascombes. Ce 2020 offre des arômes de fruits rouges, de fumée, de zeste d'orange, avec une touche de pétales de rose. En bouche on retrouve une belle vivacité, c'est un vin complet aux tanins délicieusement poudrés, la finale continue longuement sur des saveurs de fruits noirs.","""Les résultats sont excellents. C'est un vin harmonieux et dynamique. Impressionnant"" - Robert Parker -",79094-fine_default/chateau-larrivet-haut-brion-2020.png,Château Larrivet Haut-Brion,0.75,13.5,France,Bordeaux,Pessac-Léognan,2020,"['Charcuterie', 'Viande rouge', 'Viande blanche', 'Volaille', 'Gibier', 'Fromage']","Bouche vive, complète, tanins poudrés, saveurs de fruits vibrantes","Rouge Complexe, tannique et racé",Rouge,16-18°C,Vin,,43.5,Beaune 1er Cru - Clos du Roi 2020 - Bouchard Pere et Fils (Domaine),Promesse de Dourthe 2020,Pavillon Rouge 2020 - Second Vin du Château Margaux,Granito 2020 - Pegaso - Telmo Rodríguez,images/02871.png
2870,Clos Junet 2022,,,101223-fine_default/clos-junet-2022.png,Clos Junet,0.75,14.0,France,Bordeaux,Saint-Emilion,2022,"Viande rouge, Viande blanche, Volaille, Gibier, Cuisine du monde, Fromage",Vin aux arômes fruités et aux tanins soyeux. Finale vive et élégante,Rouge Charnu et fruité,Rouge,16-18°C,Vin,,22.9,Moulin à Vent Bio 2022 - Domaine Richard Rottiers,Le Boutenac des Demoiselles 2022 - Cellier des Demoiselles,Gevrey-Chambertin 2022 -  Domaine Thierry Mortet,Aloxe Corton 2022 - Domaine Chevalier Père et Fils,images/02872.png
2871,Le Corton Grand Cru 2017 - Domaine Bouchard Père et Fils,"Des arômes séduisants, une bouche étoffée, modérée dans sa puissance et séduisante par ses tanins fins, sa fraîcheur et son velouté. Un grand cru signé par un des grandes maisons bourguignonnes Un incontournable !",Une belle concentration et une puissance maîtrisée : Un grand cru 100 plaisir !,81763-fine_default/le-corton-grand-cru-2017-domaine-bouchard-pere-et-fils.png,Bouchard Père & Fils,0.75,13.5,France,Bourgogne,Corton Grand Cru,2017,"['Viande rouge', 'Viande blanche', 'Volaille', 'Fromage']","Bouche veloutée avec des tanins fins, arômes de groseille et de fraise",Rouge Elégant et racé,Rouge,14-17°C,Vin,,132.5,Echezeaux Grand Cru 2017 - Louis Latour,Chambolle Musigny 1er Cru Les Plantes 2017 - Domaine Bertagna,Clos Saint-Denis Grand Cru 2017 - Domaine Bertagna,Nuits Saint Georges 2017 - Louis Latour,images/02873.png
2872,Amigne de Vétroz 2 Abeilles 2022 - Domaine Jean-René Germanier,"Fermentée en cuve inox, l'Amigne de Vétroz Deux Abeilles 2022 offre un nez concentré et épicé aux arômes de fruits à noyau mûrs et charnus mêlés à des notes iodées. Dense et intense en bouche, avec une douceur généreuse mais balancée par des tanins fins, une acidité minérale et scintillante, c'est une Amigne prometteuse, fruitée mais aussi herbacée avec une finale longue et tendue. C'est un magnifique blanc demi-sec à demi-doux d'un grand terroir de schiste à Vétroz.",""" Finale complexe où les tanins fins et une pointe d'amertume viennent équilibrer la légère douceur "" R. Parker",88992-fine_default/amigne-de-vetroz-2-abeilles-2022-domaine-jean-rene-germanier.png,Domaine Jean René Germanier,0.75,13.5,Suisse,Canton du Valais,Valais,2022,"['Apéritif', 'Foie gras', 'Coquillage & Crustacé', 'Viande blanche', 'Volaille', 'Cuisine du monde', 'Fromage', 'Dessert fruité', 'Dessert chocolaté']","Bouche moelleuse, superbe, aux notes de mandarine.","Blanc Demi-sec, moelleux et liquoreux",Blanc,8-10°C,Vin,,26.9,Quincy 2023 - Henri Bourgeois,Puligny-Montrachet - Nosroyes 2022 - Domaine Genot Boulanger,Rully 1er Cru Blanc 2022 - Doudet-Naudin,D18 2022 - Domaine Olivier Pithon,images/02874.png
